"","상호명","지점명","상권업종대분류명","상권업종중분류명","상권업종소분류명","행정동명","도로명주소","경도","위도","행정동코드"
"14434","704에비뉴",NA,"음식","커피점/카페","커피전문점/카페/다방","역삼1동","서울특별시 강남구 테헤란로43길 30",127.044225267355,37.5051499190821,1168064000
"14435","휴앤안",NA,"음식","커피점/카페","커피전문점/카페/다방","도림동","서울특별시 영등포구 도신로17길 4",126.899931415984,37.5064892591582,1156058500
"14436","콜드브루만영등포점","영등포점","음식","커피점/카페","커피전문점/카페/다방","도림동","서울특별시 영등포구 도신로25길 14",126.902300142055,37.5084755728873,1156058500
"14437","규젤",NA,"음식","커피점/카페","커피전문점/카페/다방","가산동","서울특별시 금천구 가산디지털2로 67",126.881072252174,37.4742078681432,1154551000
"14438","앤드하리",NA,"음식","커피점/카페","커피전문점/카페/다방","한남동","서울특별시 용산구 이태원로42길 40",127.000728688205,37.5363086919025,1117068500
"14439","커피그린프라자",NA,"음식","커피점/카페","커피전문점/카페/다방","자양4동","서울특별시 광진구 능동로 77",127.069467787195,37.5381228185015,1121584700
"14440","커피에이비",NA,"음식","커피점/카페","커피전문점/카페/다방","홍제2동","서울특별시 서대문구 통일로 414",126.947034737301,37.5864715573341,1141065500
"14441","에이미스커피코리아",NA,"음식","커피점/카페","커피전문점/카페/다방","자양4동","서울특별시 광진구 동일로20길 106",127.069154688262,37.5396431285967,1121584700
"14442","요거프레소","뚝섬역점","음식","커피점/카페","커피전문점/카페/다방","성수1가2동","서울특별시 성동구 상원길 39",127.048380940949,37.5475239222085,1120066000
"14443","현대커피숍",NA,"음식","커피점/카페","커피전문점/카페/다방","녹번동","서울특별시 은평구 은평로 193",126.928982181314,37.6017888898987,1138051000
"14444","쥬스킹",NA,"음식","커피점/카페","커피전문점/카페/다방","화양동","서울특별시 광진구 광나루로24길 15",127.076685260299,37.5456041394478,1121571000
"14445","엘쥬쥬디저트",NA,"음식","커피점/카페","커피전문점/카페/다방","삼성2동","서울특별시 강남구 삼성로115길 40",127.048839226921,37.5141166160746,1168059000
"14446","리베커피숍",NA,"음식","커피점/카페","커피전문점/카페/다방","불광2동","서울특별시 은평구 통일로 842",126.922045359427,37.6186831321768,1138053000
"14447","탬버린즈신사점","신사점","음식","커피점/카페","커피전문점/카페/다방","신사동","서울특별시 강남구 압구정로10길 44",127.022058604848,37.5206287757189,1168051000
"14448","쥬빌리쇼콜라띠에",NA,"음식","커피점/카페","커피전문점/카페/다방","역삼1동","서울특별시 강남구 논현로 508",127.037277378321,37.5018857412981,1168064000
"14449","루앤비","모래내점","음식","커피점/카페","커피전문점/카페/다방","남가좌2동","서울특별시 서대문구 모래내로 225",126.923951473732,37.5744327815631,1141070000
"14450","PC&COFFEE",NA,"음식","커피점/카페","커피전문점/카페/다방","대조동","서울특별시 은평구 통일로 755",126.927900823391,37.6124292658256,1138057000
"14451","가든커피숍",NA,"음식","커피점/카페","커피전문점/카페/다방","이문1동","서울특별시 동대문구 이문로 118",127.060897169068,37.5971186058734,1123074000
"14452","할리스코리아",NA,"음식","커피점/카페","커피전문점/카페/다방","서초2동","서울특별시 서초구 강남대로37길 24",127.032293375453,37.4849502133356,1165052000
"14453","커피나무장안교점","장안교점","음식","커피점/카페","커피전문점/카페/다방","장안2동","서울특별시 동대문구 사가정로 231",127.070669474593,37.5789498041369,1123066000
"14454","매머드커피중앙대점","중앙대점","음식","커피점/카페","커피전문점/카페/다방","흑석동","서울특별시 동작구 흑석로 101",126.960572075082,37.507741270769,1159060500
"14455","리오커피숍",NA,"음식","커피점/카페","커피전문점/카페/다방","잠실6동","서울특별시 송파구 올림픽로35길 125",127.100451292078,37.516287038126,1171071000
"14456","느린내림",NA,"음식","커피점/카페","커피전문점/카페/다방","수유1동","서울특별시 강북구 삼양로 319",127.017475152021,37.6319145722054,1130561000
"14457","크레마커피컴페니",NA,"음식","커피점/카페","커피전문점/카페/다방","신촌동","서울특별시 서대문구 명물1길 2",126.937307967352,37.5578395139952,1141058500
"14458","리트웨이커피연구소",NA,"음식","커피점/카페","커피전문점/카페/다방","발산1동","서울특별시 강서구 수명로 76",126.826254611427,37.5527510647668,1150061100
"14459","모모커피",NA,"음식","커피점/카페","커피전문점/카페/다방","상계1동","서울특별시 노원구 동일로241가길 14",127.054216861313,37.6765907216331,1135063000
"14460","궁전커피숍",NA,"음식","커피점/카페","커피전문점/카페/다방","자양3동","서울특별시 광진구 뚝섬로 513",127.067393407585,37.5356916346523,1121584000
"14461","사주카페",NA,"음식","커피점/카페","사주카페","대조동","서울특별시 은평구 불광로 20",126.928924992752,37.6097264623916,1138057000
"14462","제이미커피",NA,"음식","커피점/카페","커피전문점/카페/다방","용신동","서울특별시 동대문구 무학로26길 30",127.031561503835,37.5730940189487,1123053600
"14463","도란도란",NA,"음식","커피점/카페","커피전문점/카페/다방","양평1동","서울특별시 영등포구 영등포로5길 32",126.884788819157,37.524593359999,1156061000
"14464","만쥬카페",NA,"음식","커피점/카페","커피전문점/카페/다방","서교동","서울특별시 마포구 양화로 45",126.913937441506,37.5514907709978,1144066000
"14465","텀브커피","역촌역점","음식","커피점/카페","커피전문점/카페/다방","역촌동","서울특별시 은평구 서오릉로 77",126.92174777599,37.6071292042316,1138062500
"14466","언더커피",NA,"음식","커피점/카페","커피전문점/카페/다방","대치4동","서울특별시 강남구 선릉로68길 15",127.052906925887,37.499254853289,1168063000
"14467","강쇠네카페타운",NA,"음식","커피점/카페","커피전문점/카페/다방","대치2동","서울특별시 강남구 삼성로58길 11",127.062197624488,37.4988063614769,1168061000
"14468","죠샌드위치앤커피","도산대로점","음식","커피점/카페","커피전문점/카페/다방","압구정동","서울특별시 강남구 논현로152길 30",127.030647054605,37.5213393242249,1168054500
"14469","이디야커피",NA,"음식","커피점/카페","커피전문점/카페/다방","진관동","서울특별시 은평구 진관1로 21-9",126.919685381338,37.6314741728939,1138069000
"14470","바운트커피",NA,"음식","커피점/카페","커피전문점/카페/다방","가양1동","서울특별시 강서구 마곡동로4길 15",126.835246072009,37.5596699314647,1150060300
"14471","마리웨일237","상암홈플러스점","음식","커피점/카페","커피전문점/카페/다방","성산2동","서울특별시 마포구 월드컵로 240",126.897257447574,37.5682756452677,1144073000
